번호,제목,저자,출판사,출판일
13,Virtual grasps recognition using fusion of Leap Motion and force myography,"Jiang, Xianta; Xiao, Zhen Gang; Menon, Carlo",Springer Nature,2018
14,Haptic discrimination of virtual surface slope,"Hwang, I.; Yim, S.; Choi, S.",Springer Science + Business Media,2013
15,Flexible data structures for dynamic virtual auditory scenes,"Wefers, Frank; Vorländer, Michael",Springer Nature,2018
16,An evaluation of multimodal interaction techniques for 3D layout constraint solver in a desktop-based virtual environment,"Kefi, Marounene; Hoang, Thuong N.; Richard, Paul; Verhulst, Eulalie",Springer Nature,2018
17,Evaluation of 2D and 3D interest management techniques in the distributed virtual environment DiVE,"Prendinger, Helmut; Jain, Raghvendra; Imbert, Tristian; Oliveira, João; Li, Ruijiao; Madruga, Marconi",Springer Nature,2017
18,Virtual hybrid-FDM system to enhance surface finish,"Pandey, P. M.; Reddy, N. V.; Dhande, S. G.",Taylor & Francis Group,2006
19,A computational model of perceptual saliency for 3D objects in virtual environments,"Lara, Graciela; De Antonio, Angélica; Peña, Adriana",Springer Nature,2017
20,Virtual reality software package for implementing motor learning and rehabilitation experiments,"Crocetta, Tânia Brusque; de Araújo, Luciano Vieira; Guarnieri, Regiani; Massetti, Thaís; Ferreira, Fernando Henrique Inocêncio Borba; de Abreu, Luiz Carlos; de Mello Monteiro, Carlos Bandeira",Springer Nature,2017
21,The incorporation of challenge enhances the learning of chronology from a virtual display,"Foreman, N.; Korallo, L.; Newson, D.; Sarantos, N.",Springer Science + Business Media,2008
22,Sensory-motor enhancement in a virtual therapeutic environment,"Foulds, R. A.; Saxe, D. M.; Joyce, A. W.; Adamovich, S.",Springer Science + Business Media,2008
23,Evaluation of visual feedback techniques for virtual grasping with bare hands using Leap Motion and Oculus Rift,"Vosinakis, Spyros; Koutsabasis, Panayiotis",Springer Nature,2017
24,Comparing methods for numerical input in immersive virtual environments,"Lepouras, Georgios",Springer Nature,2017
25,Real‐virtual fusion model for traffic animation,"Yang, Xin; Su, Wanchao; Deng, Jian; Jin, Xiaogang; Tan, Guozhen; Pan, Zhigeng","John Wiley & Sons, Ltd",2017
26,Control mapping in virtual reality: effects on spatial presence and controller naturalness,"Seibert, Jonmichael; Shafer, Daniel M.",Springer Nature,2017
27,Virtual teams challenging human and technical Web 2.0 dimensions,"Schumacher, M.; Divine, M.; Cardinal, J.S.-L.; Bocquet, J.-C.",INDERSCIENCE,2012
28,Emotional reactions to the 3D virtual body and future willingness: the effects of self-esteem and social physique anxiety,"Park, Juyeon",Springer Nature,2017
29,Virtual dives into the underwater archaeological treasures of South Italy,"Bruno, Fabio; Barbieri, Loris; Lagudi, Antonio; Cozza, Marco; Cozza, Alessandro; Peluso, Raffaele; Muzzupappa, Maurizio",Springer Nature,2017
30,A systematic review of the application of interactive virtual reality to sport,"Neumann, David L.; Moffitt, Robyn L.; Thomas, Patrick R.; Loveday, Kylie; Watling, David P.; Lombard, Chantal L.; Antonova, Simona; Tremeer, Michael A.",Springer Nature,2017
31,Mixing real and virtual conferencing: lessons learned,"Sharma, G.; Schroeder, R.",Springer Science + Business Media,2013
32,Workspace analysis for haptic feedback manipulator in virtual cockpit system,"Zhang, Shiyu; Dai, Shuling",Springer Nature,2018
33,Virtual memory palaces: immersion aids recall,"Krokos, Eric; Plaisant, Catherine; Varshney, Amitabh",Springer Nature,2018
34,Operator training simulators in virtual reality environment for process operators: a review,"Patle, Dipesh S.; Manca, Davide; Nazir, Salman; Sharma, Swapnil",Springer Nature,2018
35,Haptic virtual reality and immersive learning for enhanced organic chemistry instruction,"Edwards, Bosede Iyiade; Bielawski, Kevin S.; Prada, Rui; Cheok, Adrian David",Springer Nature,2018
36,Personalized planning and training system for brachytherapy based on virtual reality,"Zhou, Zeyang; Jiang, Shan; Yang, Zhiyong; Zhou, Lin",Springer Nature,2018
37,"Teaching qualitative research methods with Second Life, a 3-dimensional online virtual environment","Kawulich, Barbara B.; D'Alba, Adriana",Springer Nature,2018
38,The effect of a virtual reality learning environment on learners' spatial ability,"Sun, Rui; Wu, Yenchun Jim; Cai, Qian",Springer Nature,2018
39,Editorial for special issue on Virtual Reality and Augmented Reality,"Alhalabi, Wadee; Lytras, Miltiadis D.",Springer Nature,2019
40,Editorial: themed issue on enhanced educational experience in virtual and augmented reality,"Daniela, Linda; Lytras, Miltiadis D.",Springer Nature,2019
41,Virtual reality to improve group work skill and self-directed learning in problem-based learning narratives,"Abdullah, Junaidi; Mohd-Isa, Wan Noorshahida; Samsudin, Mohd Ali",Springer Nature,2019
42,Virtual resource provision based on elastic reservation in cloud computing,Hong He,INDERSCIENCE,2015
43,Dwelling in Second Life? A phenomenological evaluation of online virtual worlds,"Houliez, C.; Gamble, E.",Springer Science + Business Media,2013
44,Virtual communities for elderly healthcare: user-based requirements elicitation,"van `t Klooster, J.-W.; van Beijnum, B.-J.; Pawar, P.; Sikkel, K.; Meertens, L.; Hermens, H.",INDERSCIENCE,2011
45,Behavioural intentions of using virtual reality in learning: perspectives of acceptance of information technology and learning style,"Shen, Chien-wen; Ho, Jung-tsung; Ly, Pham Thi Minh; Kuo, Ting-chang",Springer Nature,2018
46,Elucidating the impact of critical determinants on purchase decision in virtual reality products by Analytic Hierarchy Process approach,"Wu, Yenchun; Chen, Shih-Chih; Lin, I-Cheng",Springer Nature,2018
47,Correction to: Virtual memory palaces: immersion aids recall,"Krokos, Eric; Plaisant, Catherine; Varshney, Amitabh",Springer Nature,2018
48,Virtual reality crowd simulation: effects of agent density on user experience and behaviour,"Dickinson, Patrick; Gerling, Kathrin; Hicks, Kieran; Murray, John; Shearer, John; Greenwood, Jacob",Springer Nature,2018
49,Detecting rigid links between sensors for automatic sensor space alignment in virtual environments,"Fountain, Jake; Smith, Shamus P.",Springer Nature,2018
50,Testing the effectiveness of virtual reality as a defusion technique for coping with unwanted thoughts,"Prudenzi, Arianna; Rooney, Brendan; Presti, Giovambattista; Lombardo, Marco; Lombardo, Daniele; Messina, Concetta; McHugh, Louise",Springer Nature,2018
51,Virtual team leadership and implementation in the US Air Force,"Minkin, S.J.",INDERSCIENCE,2012
52,Improved force JND in immersive virtual reality needle insertion simulation,"Gourishetti, Ravali; Manivannan, M.",Springer Nature,2018
53,Supporting participation in planning new roads by using virtual reality systems,"Heldal, I.",Springer Science + Business Media,2007
54,Virtual reality in the e-Society,"Magoulas, G. D.; Lepouras, G.; Vassilakis, C.",Springer Science + Business Media,2007
55,Applying virtual reality for trust-building e-commerce environments,"Papadopoulou, P.",Springer Science + Business Media,2007
56,Feasibility and usability of a virtual reality intervention to enhance men's awareness of testicular disorders (E-MAT),"Saab, Mohamad M.; Landers, Margaret; Cooke, Eoghan; Murphy, David; Hegarty, Josephine",Springer Nature,2018
57,Real-time body tracking in virtual reality using a Vive tracker,"Caserman, Polona; Garcia-Agundez, Augusto; Konrad, Robert; Göbel, Stefan; Steinmetz, Ralf",Springer Nature,2018
58,Grasp programming by demonstration in virtual reality with automatic environment reconstruction,"Aleotti, J.; Caselli, S.",Springer Science + Business Media,2012
59,Granular modelling for virtual prototyping in interactive design,"Ordaz-Hernandez, K.; Fischer, X.; Bennis, F.",Taylor & Francis,2007
60,An augmented reality interface for visualizing and interacting with virtual content,"Liarokapis, F.",Springer Science + Business Media,2007
61,"Toward organ printing: Design characteristics, virtual modelling and physical prototyping vascular segments of kidney arterial tree","Kasyanov, V.; Brakke, K.; Vilbrandt, T.; Moreno-Rodriguez, R.; Nagy-Mehesz, A.; Visconti, R.; Markwald, R.; Ozolanta, I.; Rezende, R.A.; Filho, A.L.L.",Taylor & Francis,2011
62,"Virtual world, defined from a technological perspective and applied to video games, mixed reality, and the metaverse","Nevelsteen, Kim J. L.","John Wiley & Sons, Ltd",2018
63,A training system for virtual surgical incisions with haptic playback,"Wang, J.; Lu, W.F.",Taylor & Francis,2012
64,Human–virtual character interaction: Toward understanding the influence of haptic feedback,"Krogmeier, Claudia; Mousas, Christos; Whittinghill, David","John Wiley & Sons, Ltd",2019
65,Virtual project management: introduction,"Leuthold, C.; Huber, C.; Pluss, A.",INDERSCIENCE,2012
66,Haptic interpersonal communication: improvement of actions coordination in collaborative virtual environments,"Simard, J.; Ammi, M.",Springer Science + Business Media,2012
67,The affect of contact force sensations on user performance in virtual assembly tasks,"Garbaya, S.; Zaldivar-Colado, U.",Springer Science + Business Media,2007
68,"Cable harness design, assembly and installation planning using immersive virtual reality","Ritchie, J. M.; Robinson, G.; Day, P. N.; Dewar, R. G.; Sung, R. C.; Simmons, J. E.",Springer Science + Business Media,2007
69,Virtual health coaching for consumers: a persuasive systems design perspective,"Lehto, T.; Oinas-Kukkonen, H.; Patiala, T.; Saarelma, O.",INDERSCIENCE,2013
70,Virtual titration laboratory experiment with differentiated instruction,"Wu, Bo‐Jyun; Wong, Sai‐Keung; Li, Ta‐Wei","John Wiley & Sons, Ltd",2019
71,Towards the development of a virtual environment-based training system for mechanical assembly operations,"Brough, J. E.; Schwartz, M.; Gupta, S. K.; Anand, D. K.; Kavetsky, R.; Pettersen, R.",Springer Science + Business Media,2007
72,Control mapping in virtual reality: effects on spatial presence and controller naturalness,"Seibert, J.; Shafer, D. M.",Springer Science + Business Media,2018
73,Evaluation of visual feedback techniques for virtual grasping with bare hands using Leap Motion and Oculus Rift,"Vosinakis, S.; Koutsabasis, P.",Springer Science + Business Media,2018
74,Evaluation of tone mapping operators in night-time virtual worlds,"Petit, J.; Brémond, R.; Tom, A.",Springer Science + Business Media,2013
75,A framework for understanding the emotional impacts in virtual sport training,"Kuo, J.-Y.; Chen, C.-H.; Roberts, J.",Taylor & Francis,2013
76,Real-time simulation for a virtual reality-based MIG welding training system,"Chambers, T. L.; Aglawe, A.; Reiners, D.; White, S.; Borst, C. W.; Prachyabrued, M.; Bajpayee, A.",Springer Science + Business Media,2012
77,Virtual 3D sculpting,"Wong, J. P. Y.",JOHN WILEY & SONS LTD,2000
78,Coupling of interactive manufacturing operations simulation and immersive virtual reality,"Dorozhkin, D. V.; Vance, J. M.; Rehn, G. D.; Lemessi, M.",Springer Science + Business Media,2012
79,A dual-representation strategy for the virtual assembly of thin deformable objects,"Mishra, V.; Suresh, K.",Springer Science + Business Media,2012
80,Virtual Research Conferences: A Case Based Analysis,"Malik, K.",IGI Publishing,2011
81,Comparing methods for numerical input in immersive virtual environments,"Lepouras, G.",Springer Science + Business Media,2018
82,VRMDS: an intuitive virtual environment for supporting the conceptual design of mechanisms,"Alvarez, J. C.; Su, H. J.",Springer Science + Business Media,2012
83,Emotional reactions to the 3D virtual body and future willingness: the effects of self-esteem and social physique anxiety,"Park, J.",Springer Science + Business Media,2018
84,Design evaluation and modification of mechanical systems in virtual environments,"Antonya, C.; Talaba, D.",Springer Science + Business Media,2007
85,Using the Semantic Web technologies in virtual engineering tools to create extensible interfaces,"McCorkle, D. S.; Bryden, K. M.",Springer Science + Business Media,2007
86,Industry case studies in the use of immersive virtual assembly,"Jayaram, S.; Jayaram, U.; Kim, Y. J.; DeChenne, C.; Lyons, K. W.; Palmer, C.; Mitsui, T.",Springer Science + Business Media,2007
87,Virtual reality for cultural landscape visualization,"Griffon, S. b.; Nespoulous, A. l.; Cheylan, J. P.; Marty, P.; Auclair, D.",Springer Science + Business Media,2011
88,Using a preamble to increase presence in digital virtual environments,"Smolentsev, A.; Cornick, J. E.; Blascovich, J.",Springer Science + Business Media,2017
89,Using smartphone technology to deliver a virtual pedestrian environment: usability and validation,"Schwebel, D. C.; Severson, J.; He, Y.",Springer Science + Business Media,2017
90,Reusing heterogeneous data for the conceptual design of shapes in virtual environments,"Li, Z.; Giannini, F.; Pernot, J. P.; Véron, P.; Falcidieno, B.",Springer Science + Business Media,2017
91,Performance improvement of Distributed Virtual Environments by exploiting objects’ attributes,"Bouras, C.; Giannaka, E.; Tsiatsos, T.",Springer Science + Business Media,2012
92,Special Issue Editorial: Multisensory interaction in virtual environments,"Frisoli, A.; Camurri, A.",Springer Science + Business Media,2006
93,Interaction with co-located haptic feedback in virtual reality,"Swapp, D.; Pawar, V.; Loscos, C. l.",Springer Science + Business Media,2006
94,Virtual Bounds: a teleoperated mixed reality,"Ponto, K.; Kuester, F.; Nideffer, R.; Penny, S.",Springer Science + Business Media,2006
95,Immersive manipulation of virtual objects through glove-based hand gesture interaction,"Lu, G.; Shark, L. K.; Hall, G.; Zeshan, U.",Springer Science + Business Media,2012
96,An integrated virtual environment for feasibility studies and implementation of aerial MonoSLAM,"Amiri Atashgah, M. A.; Malaek, S. M.",Springer Science + Business Media,2012
97,A methodology for optimal voxel size computation in collision detection algorithms for virtual reality,"Echegaray, G.; Borro, D.",Springer Science + Business Media,2012
98,Using immersive virtual reality and anatomically correct computer-generated characters in the forensic assessment of deviant sexual preferences,"Renaud, P.; Trottier, D.; Rouleau, J. L.; Goyette, M.; Saumur, C.; Boukhalfi, T.; Bouchard, S. p.",Springer Science + Business Media,2014
99,Learning disabilities and visual-motor skills; comparing assessment from a hapto-virtual reality tool and Bender-Gestalt test,"Tremblay, L.; Chebbi, B.; Bouchard, S. p.; Cimon-Lambert, K.; Carmichael, J.",Springer Science + Business Media,2014
100,Interaction with virtual aesthetic shapes through a desktop mechatronic system,"Covarrubias, M.; Bordegoni, M.",Taylor & Francis,2014
1,Virtual knowledge modelling for distributed teams: towards an interactive design approach,"Mejia-Gutierrez, R.; Fischer, X.; Bennis, F.",INDERSCIENCE,2008
2,Usability and feasibility of an internet-based virtual pedestrian environment to teach children to cross streets safely,"Schwebel, D. C.; McClure, L. A.; Severson, J.",Springer Science + Business Media,2014
3,Virtual prototyping and manufacturing planning by using tridexel models and haptic force feedback,"Ren, Y.; Lai-Yuen, S. K.; Lee, Y.-S.",Taylor & Francis Group,2006
4,The effects of scent and game play experience on memory of a virtual environment,"Tortell, R.; Luigi, D. P.; Dozois, A.; Bouchard, S.; Morie, J. F.; Ilan, D.",Springer Science + Business Media,2007
5,Towards adaptive Web scriptable user interfaces for virtual environments,"Barsoum, E.; Kuester, F.",Springer Science + Business Media,2008
6,Virtual Communities and Social Networking in Franchising,"Chen, Ye-Sho",IGI Publishing,2018
7,Desktop haptic virtual assembly using physically based modelling,"Howard, B. M.; Vance, J. M.",Springer Science + Business Media,2007
8,Virtual reality as a communication process,"Marini, D.; Folgieri, R.; Gadia, D.; Rizzi, A.",Springer Science + Business Media,2012
9,Citation trend of Virtual and Physical Prototyping in 2017,"Chua, Chee Kai; Bártolo, Paulo",Taylor & Francis,2017
10,Creation of a new set of dynamic virtual reality faces for the assessment and training of facial emotion recognition ability,"Gutiérrez-Maldonado, J.; Rus-Calafell, M.; González-Conde, J.",Springer Science + Business Media,2014
11,Virtual resource provision with enhanced QoS in cloud platforms,"Dongbo Liu, Gaobo Yang",INDERSCIENCE,2015
12,A comparative study between a virtual reality heart anatomy system and traditional medical teaching modalities,"Alfalah, Salsabeel F. M.; Falah, Jannat F. M.; Alfalah, Tasneem; Elfalah, Mutasem; Muhaidat, Nadia; Falah, Orwa",Springer Nature,2018
13,Exposure to an unpleasant odour increases the sense of Presence in virtual reality,"Baus, O.; Bouchard, S. p.",Springer Science + Business Media,2017
14,Multi-modal virtual environments for education with haptic and olfactory feedback,"Richard, E.; Tijou, A.; Richard, P.; Ferrier, J. L.",Springer Science + Business Media,2006
15,Virtual realia: maneuverable computer 3D models and their use in learning assembly skills,"Kealy, W. A.; Subramaniam, C. P.",Springer Science + Business Media,2006
16,A model of (en)action to approach embodiment: a cornerstone for the design of virtual environments for learning,"Mellet-d’Huart, D.",Springer Science + Business Media,2006
17,The gain and pain in taking the pilot seat: learning dynamics in a non immersive virtual solar system,"Gazit, E.; Yair, Y.; Chen, D.",Springer Science + Business Media,2006
18,Presence: a unique characteristic in educational virtual environments,"Mikropoulos, T. A.",Springer Science + Business Media,2006
19,Virtual enterprise and e-business: a case study in a Brazilian aircraft company,"Neto, J. A.",INDERSCIENCE,2006
20,Virtual reality and its role in removing the barriers that turn cognitive impairments into intellectual disability,"Standen, P. J.; Brown, D. J.",Springer Science + Business Media,2006
21,Simulator sickness in patients with neck pain and vestibular pathology during virtual reality tasks,"Tyrrell, Ryan; Sarig-Bahat, Hilla; Williams, Katrina; Williams, Grace; Treleaven, Julia",Springer Nature,2017
22,Analysis of the bullet nose of an aero-engine for bird impact through virtual and rapid prototyping,"Karunakaran, K. P.; Ramachandra, S.; Majila, A. N.; Chandrasekhar, U.; Shridhar, B. R.; Jain, R.; Vizhian, P.; Bernard, A.",Taylor & Francis,2011
23,Virtual manufacturing of various types of gears and validation of the technique using rapid prototype,"Pohit, G.; Kumar, K.",Taylor & Francis,2012
24,Industry use of virtual reality in product design and manufacturing: a survey,"Berg, L. P.; Vance, J. M.",Springer Science + Business Media,2017
25,Interaction styles in tools for developing virtual environments,"Kjeldskov, J.; Stage, J.",Springer Science + Business Media,2008
26,Haptic perception evaluation for the virtual prototyping of elastic hand-held product designs,"Gao, Zhan; Wang, Jiehua; Jiang, Zhengzheng",Taylor & Francis,2012
27,Do virtual worlds create better real worlds?,"Mobach, M. P.",Springer Science + Business Media,2008
28,Hand posture and gesture recognition techniques for virtual reality applications: a survey,"Sagayam, K. M.; Hemanth, D. J.",Springer Science + Business Media,2017
29,3D printing and virtual surgical planning in a difficult Bonebridge case,"Mukherjee, Payal; Cheng, Kai",Taylor & Francis,2019
30,Computer game engines for developing first-person virtual environments,"Trenholme, D.; Smith, S. P.",Springer Science + Business Media,2008
31,Influence of contextual objects on spatial interactions and viewpoints sharing in virtual environments,"Chellali, A.; Milleville-Pennel, I.; Dumas, C. d.",Springer Science + Business Media,2013
32,Interaction design studio learning in virtual worlds,"Vosinakis, S.; Koutsabasis, P.",Springer Science + Business Media,2013
33,Fast and stable simulation of virtual water scenes with interactions,"Liu, S.; Xiong, Y.",Springer Science + Business Media,2013
34,Overcoming the information overload problem in a multiform feedback-based virtual reality system for hand motion rehabilitation: healthy subject case study,"Ma, S.; Varley, M.; Shark, L. K.; Richards, J.",Springer Science + Business Media,2012
35,Camera space shadow maps for large virtual environments,"Kolic, I.; Mihajlovic, Z.",Springer Science + Business Media,2012
36,Supporting cognitive processing with spatial information presentations in virtual environments,"Ragan, E. D.; Bowman, D. A.; Huber, K. J.",Springer Science + Business Media,2012
37,A questionnaire for measuring presence in virtual environments: factor analysis of the presence questionnaire and adaptation into Brazilian Portuguese,"Silva, G. R.; Donat, J. l.; Rigoli, M. M.; Oliveira, F. R.; Kristensen, C. H.",Springer Science + Business Media,2016
38,Multi-user mixed reality system ‘Gulliver’s World’: a case study on collaborative edutainment at the intersection of material and virtual worlds,"Lindinger, C.; Haring, R.; Hörtner, H.; Kuka, D.; Kato, H.",Springer Science + Business Media,2006
39,An evaluation of asymmetric interfaces for bimanual virtual assembly with haptics,"Carlson, P.; Vance, J. M.; Berg, M.",Springer Science + Business Media,2016
40,Remote collaboration in virtual reality: asymmetrical effects of task distribution on spatial processing and mental workload,"Pouliquen-Lardy, L.; Milleville-Pennel, I.; Guillaume, F. o.; Mars, F.",Springer Science + Business Media,2016
41,Musical creativity in collaborative virtual environments,"Barrass, S.; Barrass, T.",Springer Science + Business Media,2006
42,Carpeno: interfacing remote collaborative virtual environments with table-top interaction,"Regenbrecht, H.; Haller, M.; Hauber, J.; Billinghurst, M.",Springer Science + Business Media,2006
43,Virtual environments for creative work in collaborative music-making,"Schober, M. F.",Springer Science + Business Media,2006
44,Virtual museums for all: employing game technology for edutainment,"Lepouras, G.; Vassilakis, C.",Springer Science + Business Media,2005
45,Beyond user experimentation: notational-based systematic evaluation of interaction techniques in virtual reality environments,"Dubois, E.; Nedel, L. P.; Freitas, C. M.; Jacon, L.",Springer Science + Business Media,2005
46,Virtual Social Networks: Toward a Research Agenda,"Sangwan, S.; Guan, C.; Siguaw, J.A.",IGI Publishing,2009
47,Factors influencing flow of object focussed collaboration in collaborative virtual environments,"Roberts, D.; Heldal, I.; Otto, O.; Wolff, R.",Springer Science + Business Media,2006
48,The design and realization of CoViD: a system for collaborative virtual 3D design,"Stuerzlinger, W.; Zaman, L.; Pavlovych, A.; Oh, J. Y.",Springer Science + Business Media,2006
49,Virtual reality with fMRI: a breakthrough cognitive treatment tool,"Wiederhold, B. K.; Wiederhold, M. D.",Springer Science + Business Media,2008
50,Collaborative virtual sculpting with haptic feedback,"Gunn, C.",Springer Science + Business Media,2006
51,Acquisition of customer's tailor measurements for 3D clothing design using virtual reality devices,"Vitali, Andrea; Rizzi, Caterina",Taylor & Francis,2018
52,"Virtual and augmented reality effects on K-12, higher and tertiary education students' twenty-first century skills","Papanastasiou, George; Drigas, Athanasios; Skianis, Charalabos; Lytras, Miltiadis; Papanastasiou, Effrosyni",Springer Nature,2018
53,Transfer of learning in virtual environments: a new challenge?,"Bossard, C.; Kermarrec, G.; Buche, C. d.; Tisseau, J.",Springer Science + Business Media,2008
54,Nu!RehaVR: virtual reality in neuro tele-rehabilitation of patients with traumatic brain injury and stroke,"Gervasi, O.; Magni, R.; Zampolini, M.",Springer Science + Business Media,2010
55,The design space of dynamic interactive virtual environments,"Blom, K. J.; Beckhaus, S.",Springer Science + Business Media,2014
56,Wearable augmented virtual reality for enhancing information delivery in high precision defence assembly: an engineering case study,"Day, P. N.; Ferguson, G.; Holt, P. O.; Hogg, S.; Gibson, D.",Springer Science + Business Media,2005
57,A framework of virtual prototyping environment for the design and analysis of mechanical mechanism with clearance,"Bing, S.; Ye, J.",Taylor & Francis,2007
58,Virtual reality prototyping of bio-molecules,"Indhumathi, C.; Cai, Y. Y.; Cao, C. R.; Lu, B. F.; Zheng, J. M.",Taylor & Francis,2007
59,Intelligent virtual agents keeping watch in the battlefield,"Herrero, P.; Antonio, A. l.",Springer Science + Business Media,2005
60,Virtual environment cultural training for operational readiness (VECTOR),"Deaton, J. E.; Barba, C.; Santarelli, T.; Rosenzweig, L.; Souders, V.; McCollum, C.; Seip, J.; Knerr, B. W.; Singer, M. J.",Springer Science + Business Media,2005
61,Virtual calligraphic carving through smoothness scalar field and brush-pressure distribution,"Chen, X.; Zhang, H.; Zhao, Q.","John Wiley & Sons, Ltd",2012
62,ERT-VR: an immersive virtual reality system for emergency rescue training,"Li, L.; Zhang, M.; Xu, F.; Liu, S.",Springer Science + Business Media,2005
63,REMOTE: desk-top Virtual Reality for future command and control?,"Aylett, R. S.; Delgado, C.; Serna, J. H.; Stockdale, R.; Clarke, H.; Estebanez, M.; Goillau, P.; Lynam, T.",Springer Science + Business Media,2005
64,Using wireless technology to develop a virtual reality command and control centre,"Green, D.; Stanton, N.; Walker, G.; Salmon, P.",Springer Science + Business Media,2005
65,A full virtual approach to design and test lower limb prosthesis,"Colombo, G.; Facoetti, G.; Regazzoni, D.; Rizzi, C.",Taylor & Francis,2013
66,Cognitive and synthetic behavior of avatars in intelligent virtual environments,"Liang, R.; Zhang, M.; Liu, Z.; Krokos, M.",Springer Science + Business Media,2008
67,The Virtual Trillium Trail and the empirical effects of Freedom and Fidelity on discovery-based learning,"Harrington, M. C.",Springer Science + Business Media,2012
68,The Palenque project: evaluating interaction in an online virtual archaeology site,"Champion, E.; Bishop, I.; Dave, B.",Springer Science + Business Media,2012
69,Virtual enterprise formation and partner selection: an analysis using case studies,"Petersen, S. A.",INDERSCIENCE,2007
70,Virtual resource pricing scheme in cloud platforms,"Ying Hu, Ze Xiao",INDERSCIENCE,2018
71,RTIL-system: a Real-Time Interactive L-system for 3D interactions with virtual plants,"Hamon, L.; Richard, E.; Richard, P.; Boumaza, R.; Ferrier, J. L.",Springer Science + Business Media,2012
72,Virtual resource auction based on Bayesian incentive strategy in large-scale clouds,"Zeng, Saifeng",unknown,2020
73,Avatar gender and personal space invasion anxiety level in desktop collaborative virtual environments,"Nassiri, N.; Powell, N.; Moore, D.",Springer Science + Business Media,2005
74,Design of high performance badminton shuttlecocks: virtual and rapid prototyping approach,"Lin, C.S.H.; Chua, C.K.; Yeo, J.H.",Taylor & Francis,2013
75,Virtual organisations for effective economic and technological sustainable development policies in the commercial Egyptian public banking sector,"Dessouky, Naglaa Fathy El",unknown,2020
76,Virtual cubic panorama synthesis based on triangular reprojection,"Zhang, C.; Dubois, E.; Zhao, Y.","John Wiley & Sons, Ltd",2014
77,Human perception of a conversational virtual human: an empirical study on the effect of emotion and culture,"Qu, C.; Brinkman, W. P.; Ling, Y.; Wiggers, P.; Heynderickx, I.",Springer Science + Business Media,2013
78,Directing virtual crowds based on dynamic adjustment of navigation fields,"Tsai, Tsung‐Yu; Wong, Sai‐Keung; Chou, Yi‐Hung; Lin, Guan‐Wen","John Wiley & Sons, Ltd",2018
79,The virtual interaction panel: an easy control tool in augmented reality systems,"Yuan, M. L.; Ong, S. K.; Nee, A. Y. C.",Wiley,2004
80,Populating virtual cities using social media,"Bulbul, Abdullah; Dahyot, Rozenn","John Wiley & Sons, Ltd",2017
81,Analysing virtual organisation risk sources: an analytical network process approach,"Alawamleh, M.; Popplewell, K.",INDERSCIENCE,2012
82,Enabling Virtual Knowledge Networks for Human Rights Monitoring for People with Disabilities,"El Morr, C.; Dinca-Panaitescu, M.; Rioux, M.; Subercaze, J.; Maret, P.; Bogdan, N.",IGI Publishing,2012
83,Mixing virtual and real scenes in the site of ancient Pompeii,"Papagiannakis, G.; Schertenleib, S.; O Kennedy, B.; Arevalo-Poizat, M.; Magnenat-Thalmann, N.; Stoddart, A.; Thalmann, D.",Wiley,2005
84,Building virtual network for high-tech industry clusters: lessons from China,"Yu, J.; Sun, W.",INDERSCIENCE,2012
85,Collaborative virtual training with physical and communicative autonomous agents,"Lopez, T.; Chevaillier, P.; Gouranton, V.; Evrard, P.; Nouviale, F.; Barange, M.; Bouville, R.; Arnaldi, B.","John Wiley & Sons, Ltd",2014
86,Moderating virtual sport consumer forums: exploring the role of the volunteer moderator,"Alonso, A.D.; O Shea, M.",INDERSCIENCE,2012
87,3D virtual simulator for breast plastic surgery,"Kim, Y.; Lee, K.; Kim, W.","John Wiley & Sons, Ltd",2008
88,The virtual organisation: a new organisational form?,"Walker, H.",INDERSCIENCE,2006
89,How virtuality affects knowledge work: points on performance and knowledge management,"Okkonen, J.",INDERSCIENCE,2003
90,Measuring virtuality in an organisational context: a quantitative study of Brazilian manufacturing companies,"Claudia Aparecida De Mattos, Fernando José Barbin Laurindo",INDERSCIENCE,2015
91,Computer-aided virtual reconstruction of Italian ancient clocks,"Pennestri, E.; Pezzuti, E.; Valentini, P. P.; Vita, L.","John Wiley & Sons, Ltd",2006
92,How virtuality affects knowledge work: points on performance and knowledge management,"Okkonen, Jussi",unknown,2004
93,An efficiency virtual resource auction mechanism based on reserve-price strategy in cloud environments,"Xiao, Peng",unknown,2020
94,Empathy in virtual learning environments,"Molka-Danielsen, J.; Carter, B.W.; Creelman, A.",INDERSCIENCE,2009
95,Online inserting virtual characters into dynamic video-scenes,"Zhang, Y.; Pettr, J.; Ondej, J.; Qin, X.; Peng, Q.; Donikian, S.","John Wiley & Sons, Ltd",2011
96,Meta-Analysis of Virtual Teams,"Bhat, Swati Kaul; Alavi, Shirin; Ahuja, Vandana",IGI Publishing,2014
97,VOMES: a virtual organisation membership evaluation system,"Cao, J.; Wang, Z.",INDERSCIENCE,2012
98,An energy-efficient virtual machine scheduler with I/O collective mechanism in resource virtualisation environments,"Xiao, P.; Liu, D.",unknown,2013
99,Book Review: Virtual Reality Technology (2nd edn) Grigore C. Burdea and Philippe Coiffet,"Vexo, F.",Wiley,2005
100,A novel virtual resource pricing policy based on game model in federated clouds,"Tian, Yuan",unknown,2020
1,Building a Virtual Environment for Diabetes Self-Management Education and Support,"Johnson, C.; Feenan, K.; Setliff, G.; Pereira, K.; Hassell, N.; Beresford, H.F.; Epps, S.; Nicollerat, J.; Tatum, W.; Feinglos, M.",IGI Publishing,2013
